"행정구역","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0~4세","2026년06월_계_5~9세","2026년06월_계_10~14세","2026년06월_계_15~19세","2026년06월_계_20~24세","2026년06월_계_25~29세","2026년06월_계_30~34세","2026년06월_계_35~39세","2026년06월_계_40~44세","2026년06월_계_45~49세","2026년06월_계_50~54세","2026년06월_계_55~59세","2026년06월_계_60~64세","2026년06월_계_65~69세","2026년06월_계_70~74세","2026년06월_계_75~79세","2026년06월_계_80~84세","2026년06월_계_85~89세","2026년06월_계_90~94세","2026년06월_계_95~99세","2026년06월_계_100세 이상","2026년06월_남_총인구수","2026년06월_남_연령구간인구수","2026년06월_남_0~4세","2026년06월_남_5~9세","2026년06월_남_10~14세","2026년06월_남_15~19세","2026년06월_남_20~24세","2026년06월_남_25~29세","2026년06월_남_30~34세","2026년06월_남_35~39세","2026년06월_남_40~44세","2026년06월_남_45~49세","2026년06월_남_50~54세","2026년06월_남_55~59세","2026년06월_남_60~64세","2026년06월_남_65~69세","2026년06월_남_70~74세","2026년06월_남_75~79세","2026년06월_남_80~84세","2026년06월_남_85~89세","2026년06월_남_90~94세","2026년06월_남_95~99세","2026년06월_남_100세 이상","2026년06월_여_총인구수","2026년06월_여_연령구간인구수","2026년06월_여_0~4세","2026년06월_여_5~9세","2026년06월_여_10~14세","2026년06월_여_15~19세","2026년06월_여_20~24세","2026년06월_여_25~29세","2026년06월_여_30~34세","2026년06월_여_35~39세","2026년06월_여_40~44세","2026년06월_여_45~49세","2026년06월_여_50~54세","2026년06월_여_55~59세","2026년06월_여_60~64세","2026년06월_여_65~69세","2026년06월_여_70~74세","2026년06월_여_75~79세","2026년06월_여_80~84세","2026년06월_여_85~89세","2026년06월_여_90~94세","2026년06월_여_95~99세","2026년06월_여_100세 이상"
"서울특별시 송파구 (1171000000)","650,258","650,258","16,945","22,553","29,320","28,530","28,509","46,411","56,419","50,409","53,080","52,101","49,762","48,995","43,897","44,554","33,458","22,131","13,080","6,680","2,696","640","88","311,081","311,081","8,610","11,612","14,915","14,358","13,928","20,917","27,031","24,135","25,412","25,116","24,235","23,612","21,008","20,413","15,538","10,532","6,080","2,658","808","143","20","339,177","339,177","8,335","10,941","14,405","14,172","14,581","25,494","29,388","26,274","27,668","26,985","25,527","25,383","22,889","24,141","17,920","11,599","7,000","4,022","1,888","497","68"
"서울특별시 강동구 (1174000000)","499,011","499,011","14,049","17,504","22,642","21,374","20,888","33,293","40,323","36,893","40,385","40,870","37,854","37,304","34,819","37,085","27,574","17,866","10,515","5,157","2,024","512","80","242,958","242,958","7,163","9,243","11,928","11,386","10,330","15,235","19,652","18,218","19,882","20,369","18,944","18,194","16,672","17,110","12,643","8,446","4,830","2,056","546","97","14","256,053","256,053","6,886","8,261","10,714","9,988","10,558","18,058","20,671","18,675","20,503","20,501","18,910","19,110","18,147","19,975","14,931","9,420","5,685","3,101","1,478","415","66"
"부산광역시  (2600000000)","3,232,370","3,232,370","70,523","94,769","134,186","131,846","145,922","184,181","203,568","184,934","214,762","241,046","252,466","271,089","262,691","288,410","220,500","155,219","98,550","55,252","18,368","3,610","478","1,570,097","1,570,097","36,118","48,508","68,816","67,183","74,119","93,956","105,752","95,160","108,987","121,898","125,589","131,514","125,299","133,724","100,310","67,963","40,503","19,239","4,734","665","60","1,662,273","1,662,273","34,405","46,261","65,370","64,663","71,803","90,225","97,816","89,774","105,775","119,148","126,877","139,575","137,392","154,686","120,190","87,256","58,047","36,013","13,634","2,945","418"
"부산광역시 중구 (2611000000)","36,306","36,306","241","354","651","868","1,746","2,864","2,408","1,583","1,713","2,083","2,704","3,122","3,245","3,957","3,315","2,467","1,661","961","274","79","10","17,580","17,580","126","201","329","399","785","1,359","1,345","871","917","1,129","1,476","1,599","1,594","1,863","1,497","1,009","665","324","74","17","1","18,726","18,726","115","153","322","469","961","1,505","1,063","712","796","954","1,228","1,523","1,651","2,094","1,818","1,458","996","637","200","62","9"
"부산광역시 서구 (2614000000)","101,216","101,216","1,673","2,304","3,378","3,655","4,729","5,710","5,475","4,598","5,653","6,806","7,667","8,619","8,688","10,114","8,257","6,200","4,195","2,494","801","172","28","48,407","48,407","866","1,182","1,785","1,841","2,197","2,784","2,785","2,344","2,870","3,481","3,914","4,391","4,295","4,631","3,688","2,629","1,618","869","206","26","5","52,809","52,809","807","1,122","1,593","1,814","2,532","2,926","2,690","2,254","2,783","3,325","3,753","4,228","4,393","5,483","4,569","3,571","2,577","1,625","595","146","23"
"부산광역시 동구 (2617000000)","83,354","83,354","1,661","1,681","2,169","2,319","2,782","4,995","5,854","4,727","4,971","5,430","6,287","7,086","6,845","8,112","6,672","5,164","3,660","2,054","718","150","17","40,508","40,508","866","883","1,112","1,165","1,340","2,318","3,037","2,522","2,630","2,943","3,329","3,683","3,410","3,864","2,965","2,176","1,402","656","177","28","2","42,846","42,846","795","798","1,057","1,154","1,442","2,677","2,817","2,205","2,341","2,487","2,958","3,403","3,435","4,248","3,707","2,988","2,258","1,398","541","122","15"
"부산광역시 영도구 (2620000000)","100,570","100,570","1,490","1,911","2,908","3,334","3,907","4,608","4,630","4,114","5,264","6,495","7,736","8,746","9,170","11,118","9,373","7,232","4,862","2,683","824","151","14","49,340","49,340","768","977","1,534","1,715","2,197","2,547","2,481","2,205","2,784","3,408","4,006","4,480","4,588","5,304","4,241","3,069","1,877","909","221","29","0","51,230","51,230","722","934","1,374","1,619","1,710","2,061","2,149","1,909","2,480","3,087","3,730","4,266","4,582","5,814","5,132","4,163","2,985","1,774","603","122","14"
"부산광역시 부산진구 (2623000000)","364,912","364,912","8,890","9,260","12,032","12,578","18,638","27,116","29,709","24,692","23,885","24,966","27,043","28,473","27,924","30,703","23,154","16,554","10,768","6,128","1,989","360","50","174,246","174,246","4,503","4,739","6,017","6,260","8,624","12,615","14,878","12,692","12,240","12,672","13,359","13,801","13,173","13,989","10,473","7,167","4,311","2,114","558","58","3","190,666","190,666","4,387","4,521","6,015","6,318","10,014","14,501","14,831","12,000","11,645","12,294","13,684","14,672","14,751","16,714","12,681","9,387","6,457","4,014","1,431","302","47"
"부산광역시 동래구 (2626000000)","271,097","271,097","6,762","9,881","13,782","12,632","11,146","13,753","15,832","15,913","19,940","22,101","21,911","21,910","19,979","22,323","17,477","12,333","7,592","4,106","1,420","275","29","130,313","130,313","3,497","5,005","7,158","6,545","5,710","6,891","7,969","7,876","9,759","10,894","10,729","10,544","9,171","10,119","7,729","5,445","3,311","1,509","390","60","2","140,784","140,784","3,265","4,876","6,624","6,087","5,436","6,862","7,863","8,037","10,181","11,207","11,182","11,366","10,808","12,204","9,748","6,888","4,281","2,597","1,030","215","27"
"부산광역시 남구 (2629000000)","254,413","254,413","5,149","7,249","10,830","11,589","15,761","14,640","14,669","13,377","16,063","18,990","20,646","20,998","18,897","21,174","16,895","12,715","8,398","4,581","1,502","260","30","123,416","123,416","2,646","3,749","5,538","5,879","7,952","7,956","7,618","6,876","8,111","9,332","10,351","10,226","9,014","9,543","7,522","5,467","3,476","1,707","403","46","4","130,997","130,997","2,503","3,500","5,292","5,710","7,809","6,684","7,051","6,501","7,952","9,658","10,295","10,772","9,883","11,631","9,373","7,248","4,922","2,874","1,099","214","26"
"부산광역시 북구 (2632000000)","260,736","260,736","5,656","7,082","10,062","10,095","10,185","13,685","16,577","14,582","15,635","17,680","20,004","24,559","25,522","26,491","18,331","11,793","7,197","3,983","1,325","255","37","127,667","127,667","2,952","3,629","5,213","5,162","5,462","7,295","8,837","7,616","8,099","8,994","9,641","11,322","12,083","12,787","8,633","5,326","2,978","1,287","309","41","1","133,069","133,069","2,704","3,453","4,849","4,933","4,723","6,390","7,740","6,966","7,536","8,686","10,363","13,237","13,439","13,704","9,698","6,467","4,219","2,696","1,016","214","36"
"부산광역시 해운대구 (2635000000)","370,739","370,739","7,859","11,847","17,571","17,118","15,242","19,268","21,007","20,245","25,094","29,779","31,755","33,412","30,586","31,341","23,420","16,067","10,375","6,148","2,096","458","51","177,281","177,281","4,080","5,990","9,080","8,822","8,014","9,835","10,745","9,995","12,156","14,334","14,987","15,768","14,339","14,512","10,708","6,992","4,152","2,108","563","87","14","193,458","193,458","3,779","5,857","8,491","8,296","7,228","9,433","10,262","10,250","12,938","15,445","16,768","17,644","16,247","16,829","12,712","9,075","6,223","4,040","1,533","371","37"
"부산광역시 사하구 (2638000000)","282,159","282,159","4,757","6,903","10,784","11,691","12,834","15,356","15,756","13,948","17,626","20,474","22,570","25,574","25,452","28,067","21,145","14,169","8,623","4,576","1,514","288","52","139,724","139,724","2,389","3,596","5,517","6,014","6,878","8,315","8,533","7,524","9,214","10,665","11,302","12,519","12,310","13,173","9,928","6,302","3,592","1,538","352","56","7","142,435","142,435","2,368","3,307","5,267","5,677","5,956","7,041","7,223","6,424","8,412","9,809","11,268","13,055","13,142","14,894","11,217","7,867","5,031","3,038","1,162","232","45"
"부산광역시 금정구 (2641000000)","205,672","205,672","3,025","4,644","7,109","8,325","13,202","12,257","11,013","9,503","11,013","13,906","15,370","17,728","18,385","20,105","15,763","11,161","7,225","4,150","1,459","287","42","99,854","99,854","1,488","2,353","3,579","4,176","6,717","6,987","6,088","4,985","5,624","6,977","7,577","8,377","8,692","9,292","7,071","4,883","3,074","1,466","388","52","8","105,818","105,818","1,537","2,291","3,530","4,149","6,485","5,270","4,925","4,518","5,389","6,929","7,793","9,351","9,693","10,813","8,692","6,278","4,151","2,684","1,071","235","34"
"부산광역시 강서구 (2644000000)","153,555","153,555","7,150","9,500","11,252","7,393","4,321","6,288","10,628","13,594","17,059","15,004","10,372","8,765","8,431","9,403","6,506","3,887","2,165","1,261","465","101","10","79,376","79,376","3,617","4,851","5,816","3,749","2,358","3,433","5,530","6,867","8,906","8,238","5,826","4,641","4,206","4,649","3,271","1,941","950","411","99","15","2","74,179","74,179","3,533","4,649","5,436","3,644","1,963","2,855","5,098","6,727","8,153","6,766","4,546","4,124","4,225","4,754","3,235","1,946","1,215","850","366","86","8"
"부산광역시 연제구 (2647000000)","211,464","211,464","5,320","6,764","8,794","8,435","8,767","12,262","14,935","13,560","14,717","16,086","16,304","17,172","15,832","17,602","13,960","9,887","6,225","3,514","1,092","209","27","100,606","100,606","2,732","3,421","4,414","4,312","4,356","5,895","7,267","6,951","7,364","7,840","7,921","8,114","7,401","7,829","6,199","4,310","2,616","1,314","300","46","4","110,858","110,858","2,588","3,343","4,380","4,123","4,411","6,367","7,668","6,609","7,353","8,246","8,383","9,058","8,431","9,773","7,761","5,577","3,609","2,200","792","163","23"
