지역,소멸위험지수,여성_20_39세,65세_이상,기준월,산식
경상북도 영주시,0.194,6462,33229,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
경상북도 영천시,0.17,5882,34662,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
경상북도 예천군,0.196,3702,18847,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
경상북도 울릉군,0.166,482,2900,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
경상북도 울진군,0.195,3114,15934,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
경상북도 의성군,0.079,1899,24027,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
경상북도 청도군,0.086,1629,19045,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
경상북도 청송군,0.104,1126,10843,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
경상북도 칠곡군,0.31,7372,23770,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
경상북도 포항시 남구,0.305,16731,54819,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
경상북도 포항시 북구,0.383,25280,65981,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
광주광역시 광산구,0.875,45834,52385,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
광주광역시 남구,0.449,21450,47751,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
광주광역시 동구,0.517,13606,26334,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
광주광역시 북구,0.56,48505,86558,2026-06,"20~39세 여성 인구 ÷ 65세 이상 인구 (한국고용정보원 이상호, 2016) · 행안부 주민등록 연령별 인구통계"
