"행정구역","2026년06월_총인구수","2026년06월_세대수","2026년06월_세대당 인구","2026년06월_남자 인구수","2026년06월_여자 인구수","2026년06월_남여 비율"
"충청남도 논산시 (4423000000)","105,977","56,940","          1.86","53,276","52,701","          1.01"
"충청남도 계룡시 (4425000000)","45,959","19,660","          2.34","22,839","23,120","          0.99"
"충청남도 당진시 (4427000000)","172,400","86,747","          1.99","92,747","79,653","          1.16"
"충청남도 금산군 (4471000000)","48,939","26,769","          1.83","24,929","24,010","          1.04"
"충청남도 부여군 (4476000000)","57,762","31,992","          1.81","28,804","28,958","          0.99"
"충청남도 서천군 (4477000000)","46,761","26,082","          1.79","23,292","23,469","          0.99"
"충청남도 청양군 (4479000000)","30,051","17,020","          1.77","15,467","14,584","          1.06"
"충청남도 홍성군 (4480000000)","101,566","51,279","          1.98","50,917","50,649","          1.01"
"충청남도 예산군 (4481000000)","78,318","41,202","          1.90","39,389","38,929","          1.01"
"충청남도 태안군 (4482500000)","59,039","33,438","          1.77","29,959","29,080","          1.03"
"전북특별자치도  (5200000000)","1,718,633","873,605","          1.97","856,605","862,028","          0.99"
"전북특별자치도 전주시 (5211000000)","620,874","297,784","          2.08","304,497","316,377","          0.96"
"전북특별자치도 전주시 완산구 (5211100000)","313,529","153,033","          2.05","151,882","161,647","          0.94"
"전북특별자치도 전주시 덕진구 (5211300000)","307,345","144,751","          2.12","152,615","154,730","          0.99"
"전북특별자치도 군산시 (5213000000)","255,591","127,007","          2.01","129,749","125,842","          1.03"
"전북특별자치도 익산시 (5214000000)","266,758","134,124","          1.99","132,640","134,118","          0.99"
"전북특별자치도 정읍시 (5218000000)","100,738","54,663","          1.84","50,378","50,360","          1.00"
"전북특별자치도 남원시 (5219000000)","73,812","39,886","          1.85","36,310","37,502","          0.97"
"전북특별자치도 김제시 (5221000000)","81,631","44,758","          1.82","40,952","40,679","          1.01"
"전북특별자치도 완주군 (5271000000)","100,102","50,377","          1.99","51,435","48,667","          1.06"
"전북특별자치도 진안군 (5272000000)","24,689","14,062","          1.76","12,606","12,083","          1.04"
"전북특별자치도 무주군 (5273000000)","23,326","13,373","          1.74","11,772","11,554","          1.02"
"전북특별자치도 장수군 (5274000000)","21,169","11,931","          1.77","10,699","10,470","          1.02"
"전북특별자치도 임실군 (5275000000)","25,342","14,844","          1.71","13,157","12,185","          1.08"
"전북특별자치도 순창군 (5277000000)","27,584","15,062","          1.83","13,698","13,886","          0.99"
"전북특별자치도 고창군 (5279000000)","50,071","28,373","          1.76","25,169","24,902","          1.01"
"전북특별자치도 부안군 (5280000000)","46,946","27,361","          1.72","23,543","23,403","          1.01"
"전라남도  (4600000000)","1,773,646","916,135","          1.94","896,552","877,094","          1.02"
"전라남도 목포시 (4611000000)","199,524","102,526","          1.95","99,221","100,303","          0.99"
"전라남도 여수시 (4613000000)","260,502","127,237","          2.05","132,348","128,154","          1.03"
"전라남도 순천시 (4615000000)","274,131","128,207","          2.14","136,801","137,330","          1.00"
"전라남도 나주시 (4617000000)","116,691","60,233","          1.94","59,076","57,615","          1.03"
"전라남도 광양시 (4623000000)","155,975","74,148","          2.10","81,872","74,103","          1.10"
"전라남도 담양군 (4671000000)","44,031","23,865","          1.85","22,268","21,763","          1.02"
